"id_standard_word";"orthographic_word";"geometry_id";"IPA_string";"sampa_string"
1;"Felde";137105;"p͡fɛ̣→əl̠tʼ";"p*fE_r*\@l_-t_>"
1;"Felde";109582;"‿fœ̣ʿlth";"<f9_r_clth"
1;"Felde";106665;"fɛːl̜";"fE:l_o"
1;"Felde";136865;"ˈfæɫ̩";"""f{l_G="
1;"Felde";98885;"fɛ̜ɭd‿";"fE_ol_Rd>"
1;"Felde";126108;"‿p̰͡fɛl̠ːth";"<p_X*fEl_-:th"
1;"Felde";107178;"ˈfɛʾlə";"""fE_Ol@"
1;"Felde";104872;"ˈfɛlə";"""fEl@"
1;"Felde";94235;"fɛɫth";"fEl_Gth"
1;"Felde";122070;"ˈpɸẹɫ̩";"""p-p\e_r-l_G="
1;"Felde";119269;"p͡ɸe̜ɫː";"p*p\e_ol_G:"
1;"Felde";117389;"ˈfɐ̟lə";"""f6_+l@"
1;"Felde";98052;"p͡fɛlth";"p*fElth"
1;"Felde";138212;"fɛlth";"fElth"
1;"Felde";97691;"ˈp͡fɛlɛ̠";"""p*fElE_-"
1;"Felde";126983;"‿p͡fel̠th";"<p*fel_-th"
1;"Felde";84354;"fɛ→ɪt‿";"fE*\It>"
1;"Felde";118165;"‿p͡fɛɭt";"<p*fEl_jt"
1;"Felde";117629;"‿fæːln";"<f{:ln"
1;"Felde";106912;"‿ˈp͡ffœ̣ʿlœ̠";"<""p*ff9_r_cl9_-"
1;"Felde";139216;"fɑ̟ɫt / vɑ̟ːɫ‿";"fA_+l_Gt / vA_+:l_G>"
1;"Felde";142407;"‿ˈvɛldə";"<""vEld@"
1;"Felde";108461;"‿ˈp͡fɛ̣lɐ̟";"<""p*fE_rl6_+"
1;"Felde";126340;"‿ˈp͡fɛl̠ə̟";"<""p*fEl_-@_+"
1;"Felde";124917;"‿p̰͡fɛɫd‿";"<p_X*fEl_Gd>"
1;"Felde";122830;"ˈp͡fɛɭːdə";"""p*fEl_j:d@"
1;"Felde";111294;"fɛ̠ʾl̠tʼ";"fE_-_Ol_-t_>"
1;"Felde";135360;"fɛːlt̪h";"fE:lt_dh"
1;"Felde";101005;"fɛ͡ɛ̠l̠th";"fE*E_-l_-th"
1;"Felde";97496;"ˈp͡fœʿlə̜ʾ‿";"""p*f9_cl@_o_O>"
1;"Felde";142544;"‿v̰͡fæ̣ltʼ";"<v_X*f{_rlt_>"
1;"Felde";139327;"fɛl̠th";"fEl_-th"
1;"Felde";142132;"‿ˈfɑ̟lə̤̃";"<""fA_+l@_t~-"
1;"Felde";112685;"ˈfɛ̠lə";"""fE_-l@"
1;"Felde";140999;"fal̠ːth";"fal_-:th"
1;"Felde";136211;"ˈfɛɫd‿";"""fEl_Gd>"
1;"Felde";125086;"p͡fɛʾltʰ‿";"p*fE_Olt_h>"
1;"Felde";134531;"‿p͡fɛ̜ɫtʼ";"<p*fE_ol_Gt_>"
1;"Felde";102156;"ˈp̰͡fɛ̣lə";"""p_X*fE_r-l@ ""p_X*fE_rl@"
1;"Felde";100376;"‿fæ̣ːld‿";"<f{_r:ld>"
1;"Felde";119655;"p̰͡fɛl̠ːtʼ";"p_X*fEl_-:t_>"
1;"Felde";121678;"‿p͡fɛl̠th";"<p*fEl_-th"
1;"Felde";98997;"ˈfæ̣ʾl̠ə";"""f{_r_Ol_-@"
1;"Felde";99867;"‿feld̠‿";"<feld_->"
1;"Felde";116270;"fɑʾlth";"fA_Olth"
1;"Felde";96934;"fɛɭt";"fEl_Rt"
1;"Felde";115632;"ˈfɛlə";"""fEl@"
1;"Felde";123486;"‿p͡fɛl̠d̪‿";"<p*fEl_-d_d>"
1;"Felde";114506;"ˈp̰͡fœlə";"""p_X*f9l@"
1;"Felde";110034;"ˈp̰͡fɛ̣lə";"""p_X*fE_r-l@ ""p_X*fE_rl@"
1;"Felde";120233;"‿p͡fɛɭtʰ";"<p*fEl_Rt_h"
1;"Felde";110821;"fɛːʎth";"fE:Lth"
2;"Feld";25987;"p̰͡fɛlth";"p_X*fElth"
2;"Feld";133243;"vœʿltʼ";"v9_clt_>"
2;"Feld";76974;"‿p̰͡fɛʾlth";"<p_X*fE_Olth"
2;"Feld";96433;"‿p̰͡fɛl̠tʰ";"<p_X*fEl_-t_h"
2;"Feld";79153;"fe̜̠lt‿";"fe_o_-lt>"
2;"Feld";80028;"fø→ɪʾth";"f2*\I_Oth"
2;"Feld";82823;"ˈp̰͡fœlth";"""p_X*f9lth"
2;"Feld";96991;"‿p͡fɛl̠th";"<p*fEl_-th"
2;"Feld";131034;"‿fɛlth";"<fElth"
2;"Feld";103582;"‿ˈp̰͡fœ̣lə";"<""p_X*f9_rl@"
2;"Feld";100120;"ˈf͡valə";"""f*val@"
2;"Feld";131478;"fɛ̣lth";"fE_rlth"
2;"Feld";534317;"fɛltʰ";"fElt_h"
2;"Feld";133354;"vɛ̣ːlth";"vE_r:lth"
2;"Feld";134449;"fæ̣ːth";"f{_r:th"
2;"Feld";74385;"‿p̰͡fɔʿ→ɪt̪͡θ‿";"<p_X*fO_c*\It_d*T>"
2;"Feld";101114;"fɛl̻th";"fEl_mth"
2;"Feld";88232;"fœʿlt͡θ";"f9_clt*T"
2;"Feld";131639;"fe͡ɪ̜lth";"fe*I_olth"
2;"Feld";534378;"‿ˈp̰͡fɐ→ɪlə";"<""p_X*f6*\Il@"
2;"Feld";101119;"ˈfɛ̜ldə";"""fE_old@"
2;"Feld";93455;"p͡fe̜→əʾlth";"p*fe_o*\@_Olth"
2;"Feld";95627;"‿p̰͡fæːlth";"<p_X*f{:lth"
2;"Feld";131625;"b̰͡vɛ̜l̠tʰ";"b_X*vE_ol_-t_h"
2;"Feld";87273;"‿p̰͡fɛ̣̠lt̪͡θ";"<p_X*fE_r_-lt_d*T"
2;"Feld";81534;"fœʿlt͡θ";"f9_clt*T"
2;"Feld";132665;"b̰͡ve̜l";"b_X*ve_ol"
2;"Feld";103353;"fɛ̜ːlth";"fE_o:lth"
2;"Feld";89340;"f͡vœʿl";"f*v9_cl"
2;"Feld";71626;"‿f͡voʿ→ɪt̪h";"<f*vo_c*\It_dh"
2;"Feld";78096;"fɛ̣lth";"fE_rlth"
2;"Feld";95188;"‿p͡fɛ̠→ə̰lth";"<p*fE_-*\@_Xlth"
2;"Feld";73067;"fə̟ʾ→ɪt‿ / fə̟ʾl.t.";"f@_+_O*\It> / f@_+_Ol.t."
2;"Feld";87629;"‿fɑːlth";"<fA:lth"
2;"Feld";92088;"fɛ̠lth";"fE_-lth"
2;"Feld";90559;"p͡fɛ̠l̻th";"p*fE_-l_mth"
2;"Feld";72938;"p͡fɛʾlt̪͡θ";"p*fE_Olt_d*T"
2;"Feld";130378;"p͡fɛltʰ";"p*fElt_h"
2;"Feld";129216;"b͡vɛlth";"b*vElth"
2;"Feld";104396;"ˈfɛːldə";"""fE:ld@"
2;"Feld";103623;"‿ˈɸ͡fɐ→ɪlə";"<""p\*f6*\Il@"
2;"Feld";73053;"fɛ̠l̰t͡θ";"fE_-l_Xt*T"
2;"Feld";132113;"‿p͡fɛltʰ";"<p*fElt_h"
2;"Feld";103156;"‿fɛl̠tʰ";"<fEl_-t_h"
2;"Feld";71399;"‿p͡fœlth";"<p*f9lth"
2;"Feld";132787;"valth";"valth"
2;"Feld";94066;"fɛltʰ";"fElt_h"
2;"Feld";80157;"f͡ve→ɐ̠l̠th";"f*ve*\6_-l_-th"
2;"Feld";71182;"fɔ̜ʿ→ɪth";"fO_o_c*\Ith"
2;"Feld";78677;"f͡vølt‿ / f͡və→ɪlt";"f*v2lt> / f*v@*\Ilt"
2;"Feld";136417;"faɫth";"fal_Gth"
2;"Feld";97362;"p͡fɛ͡ə̣lth";"p*fE*@_rlth"
3;"isst";131478;"ɪ̣st";"I_rst"
3;"isst";135360;"est";"est"
3;"isst";108461;"ɪt‿";"It>"
3;"isst";140999;"ẹs̠t‿";"e_rs_-t>"
3;"isst";101005;"ɪsθ‿";"IsT>"
3;"isst";134656;"ɪːst‿";"I:st>"
3;"isst";104396;"ɛ̜tʰ";"E_ot_h"
3;"isst";534378;"ɛt.‿";"Et.>"
3;"isst";132113;"ist";"ist"
3;"isst";87629;"ɪ̣st";"I_rst"
3;"isst";103156;"ɛ→ə̜tʼ";"E*\@_ot_>"
3;"isst";98830;"est‿";"est>"
3;"isst";25987;"i̜ːst‿";"i_o:st>"
3;"isst";134449;"e̜t͡ʔ‿";"e_ot*?>"
3;"isst";103582;"‿ɪtʼ";"<It_>"
3;"isst";118165;"ɛ̜t‿";"E_ot>"
3;"isst";129216;"ɪ̣st̪‿";"I_rst_d>"
3;"isst";132665;"ɪ̣st";"I_rst"
3;"isst";99705;"es̟t‿";"es_+t>"
3;"isst";138617;"ɪst‿";"Ist>"
3;"isst";121128;"ɛ̣st‿";"E_rst>"
3;"isst";90559;"i̜ːst̪‿";"i_o:st_d>"
3;"isst";112854;"ɪt‿";"It>"
3;"isst";73053;"iːst";"i:st"
3;"isst";139458;"ʔẹs̟t‿";"?e_rs_+t>"
3;"isst";93399;"i̜st‿";"i_ost>"
3;"isst";71399;"ɪ̣ːst̪‿";"I_r:st_d>"
3;"isst";95188;"e̠st";"e_-st"
3;"isst";78677;"istʰ";"ist_h"
3;"isst";136417;"ɪ̠θ";"I_-T"
3;"isst";82823;"ɪst‿";"Ist>"
3;"isst";98155;"ɪst̪‿";"Ist_d>"
3;"isst";76974;"ɪst";"Ist"
3;"isst";79153;"i̜ːs̠t";"i_o:s_-t"
3;"isst";110821;"ɪʔ";"I?"
3;"isst";98885;"‿ɪs̠t‿";"<Is_-t>"
3;"isst";122070;"ˈɛde‿";"""Ede>"
3;"isst";133354;"ɪ̣st";"I_rst"
3;"isst";96433;"i̜st̰‿";"i_ost_X>"
3;"isst";80157;"i̜ːst̪͡ʔ";"i_o:st_d*?"
3;"isst";106665;"ɛ̣d‿";"E_rd>"
3;"isst";88232;"i̜st";"i_ost"
3;"isst";93455;"ɪ̣s̠t‿";"I_rs_-t>"
3;"isst";84354;"ɪs̠tʰ";"Is_-t_h"
3;"isst";134531;"ɪ̜s̟t‿";"I_os_+t>"
3;"isst";89340;"is̠t";"is_-t"
3;"isst";92088;"ist̪";"ist_d"
3;"isst";137182;"ˈɪ̜s̠θɛ̠";"""I_os_-TE_-"
3;"isst";77404;"is͡ṣ";"is*s_r"
3;"isst";72938;"ɪ̣st̪";"I_rst_d"
3;"isst";130378;"ɪ̣st̰‿";"I_rst_X>"
3;"isst";142179;"ʔɪs̠th";"?Is_-th"
3;"isst";124534;"ɛ̜tː";"E_ot:"
3;"isst";78096;"ɪ̣st͡θ";"I_rst*T"
3;"isst";124194;"ɛ̜t‿";"E_ot>"
3;"isst";100345;"ɪst‿";"Ist>"
3;"isst";116468;"ɛtʰ‿";"Et_h>"
3;"isst";94066;"ɛ̣st̰";"E_rst_X"
3;"isst";96934;"is̠t̰‿";"is_-t_X>"
3;"isst";98815;"ɪ̣st̰‿";"I_rst_X>"
3;"isst";126543;"ˈẹsθɪ";"""e_rsTI"
3;"isst";119195;"e̜ːt‿";"e_o:t>"
3;"isst";132787;"ist";"ist"
3;"isst";71182;"ɪ̣st̰";"I_rst_X"
3;"isst";89144;"i̜st‿";"i_ost>"
3;"isst";110375;"ɛʔ‿";"E?>"
3;"isst";96254;"ɪst‿";"Ist>"
3;"isst";142544;"‿ɪ̜s̠th";"<I_os_-th"
3;"isst";142132;"ɪ̣s̟th";"I_rs_+th"
3;"isst";120286;"ɪt‿";"It>"
3;"isst";136211;"ɪsð‿";"IsD>"
3;"isst";80028;"ist‿";"ist>"
3;"isst";100418;"ɪsð‿";"IsD>"
3;"isst";94235;"ɪ̠sθ‿";"I_-sT>"
3;"isst";97362;"ɪsθ‿";"IsT>"
3;"isst";131034;"ist‿";"ist>"
3;"isst";141726;"ẹst‿";"e_rst>"
