# "Long-form" encoding of the complete PAD data
#
# date   : 2013-11-26 10:07:24
# source : /sources/original_corrected.csv
#
# Each word in the data is put on a separate line, and is given an unique ID in the first column.
# These IDs are also used in the alignment files.
# The column CONCEPT lists the meaning-designation as used in the original data.
# Because this is dialect data, almost all words with the same meaning are also cognate, but not all!
# Also, some cognate words were distinguished in the original data (e.g. "Äpfeln" and "Äpfelchen").
# There were also a few erroneous classifications (e.g. between "recht" and "lauter").
# Some words have been divided into separate cognate sets (e.g. various non-cognate words for "Dienstag").
# The column COUNTERPART lists the actual form as originally transcribed.
# The column CONCEPTID lists the numbers as used in the original data
# The column DOCULECT lists the short name of the village. See /data/doculects.csv for more info on each village.
# The column TOKENS lists a tokenization of the original transcription into phonetic units (according to the transcription!).
# The column COGID lists a separate ID for all words that are actually cognate. These IDs are summarized in the file /data/cognatesets.csv
#
ID	CONCEPT	COUNTERPART	CONCEPTID	DOCULECT	TOKENS	COGID
10413	Affe	a̠fɛː	69	Lippen	a̠ f ɛː	1004
10414	Affe	ɔ̜f	69	Tann(Rhön)	ɔ̜ f	1004
10415	Affe	ɑɸ͡fə̟	69	Eversen	ɑ ɸ͡f ə̟	1004
10416	Affe	ɔf	69	Zellingen	ɔ f	1004
10417	Affe	o→əpə̤	69	Ruhlsdorf	o→ə p ə̤	1004
10418	Affe	‿ʌf	69	Igling	ʌ f	1004
10419	Affe	‿ʌfː	69	Gornsdorf	ʌ fː	1004
10420	Affe	ɑwə	69	Oiste	ɑ w ə	1004
10421	Affe	ɐvɛ̠h	69	Schraden	ɐ v ɛ̠ h	1004
10422	Affe	‿ɑ̟ːphh	69	Wemb	ɑ̟ː ph h	1004
10423	Affe	ɑːpʱ̫ə̤	69	Albersloh	ɑː pʱ̫ ə̤	1004
10424	Affe	ɔf	69	Peterskirchen	ɔ f	1004
10425	Affe	‿afə͡ə̥	69	Wehrsdorf	a f ə͡ə̥	1004
10426	Affe	ɒ̣ʿf	69	Ohrdorf	ɒ̣ʿ f	1004
10427	Affe	ɑ̟f	69	Höchstädt(Don)	ɑ̟ f	1004
10428	Affe	ɑɸɛ̥	69	NeuSchadow	ɑ ɸ ɛ̥	1004
10429	Affe	ʌʾfə̟	69	Mockern	ʌʾ f ə̟	1004
10430	Affe	af͡fə	69	Oberhomberg	a f͡f ə	1004
10431	Affe	ɑʾfə̟	69	Weidenbach	ɑʾ f ə̟	1004
10432	Affe	ɔ̣ːpʰ	69	Osterbruch	ɔ̣ː pʰ	1004
